category_name,label,description
all_bio,All Bio,Includes all bio-related domains collectively
antibody_engineering,Antibody Engineering,"Antibody Discovery & Engineering (monoclonals, bispecifics, antibody-drug conjugates, nanobodies)"
biodefense,Biodefense,"Biodefense & Biosecurity (medical countermeasures, threat detection, biological incident response)"
bioinformatics,Bioinformatics,"Bioinformatics & Computational Biology (sequence analysis, structural prediction, biological databases)"
biomarker_discovery,Biomarker Discovery,"Biomarker Identification & Validation (disease markers, companion diagnostics, prognostic indicators)"
bioprocessing,Bioprocessing,"Bioprocessing & Biomanufacturing Scale-Up (fermentation, cell culture, downstream processing, GMP production)"
biosensors,Biosensors,"Biosensors & Wearable Diagnostics (continuous monitoring, point-of-care devices, implantable sensors)"
cell_therapy,Cell Therapy,"Cell Therapy & Cellular Engineering (CAR-T, CAR-NK, TILs, iPSC-derived therapies, ex vivo modification)"
clinical_trials,Clinical Trials,"Clinical Trial Design & Operations (trial design, patient recruitment, CROs, decentralized trials)"
crispr_gene_editing,CRISPR Gene Editing,"CRISPR & Gene Editing Technologies (base editing, prime editing, epigenetic editing, delivery systems)"
crop_science,Crop Science,"Crop Improvement & Agricultural Genetics (yield enhancement, drought tolerance, disease resistance)"
diagnostic_imaging,Diagnostic Imaging,"Medical Imaging & Radiology (MRI, CT, PET, ultrasound, AI-assisted interpretation)"
drug_delivery,Drug Delivery,"Drug Delivery Systems (nanoparticles, liposomes, sustained release, targeted delivery, implants)"
drug_discovery,Drug_Discovery,"Small Molecule Drug Discovery (target identification, hit-to-lead, medicinal chemistry, ADMET)"
enzyme_engineering,Enzyme Engineering,"Enzyme Engineering & Industrial Biocatalysis (directed evolution, rational design, industrial enzymes)"
epigenetics,Epigenetics,"Epigenetics & Chromatin Biology (methylation, histone modification, epigenetic therapies)"
food_biotech,Food Biotech,"Food Biotechnology & Alternative Proteins (cultured meat, precision fermentation, plant-based proteins)"
gene_therapy,Gene Therapy,"Gene Therapy & Gene Replacement (AAV vectors, lentiviral delivery, in vivo gene correction)"
genomics,Genomics,"Genomics & Genome Sequencing (whole genome, exome, single-cell sequencing, long-read technologies)"
health_ai,Health AI,"AI & Machine Learning in Healthcare (clinical decision support, drug discovery AI, medical imaging AI)"
immunology,Immunology,"Immunology & Immune Modulation (checkpoint inhibitors, cytokine therapies, tolerance induction)"
infectious_disease,Infectious Disease,"Infectious Disease Therapeutics (antivirals, antibiotics, antifungals, antimicrobial resistance)"
lab_automation,Lab Automation,"Laboratory Automation & Robotics (high-throughput screening, liquid handling, automated workflows)"
medical_devices,Medical Devices,"Medical Devices & Implants (surgical instruments, prosthetics, implantable devices, Class II/III)"
metabolic_engineering,Metabolic Engineering,"Metabolic Engineering & Pathway Design (flux optimization, heterologous expression, chassis organisms)"
microbiome,Microbiome,"Microbiome Therapeutics & Diagnostics (gut microbiome, live biotherapeutics, FMT, microbiome profiling)"
mrna_therapeutics,mRNA Therapeutics,"mRNA & RNA Therapeutics (mRNA vaccines, mRNA therapeutics, RNA delivery platforms)"
neurology,Neurology,"Neurological Therapeutics (neurodegeneration, psychiatry, pain, neuromuscular disorders)"
oncology,Oncology,"Oncology Therapeutics (solid tumors, hematological cancers, tumor microenvironment, combination therapy)"
pandemic_preparedness,Pandemic Preparedness,"Pandemic Preparedness & Response (surveillance, rapid response platforms, stockpiling, global health security)"
plant_microbiome,Plant Microbiome,"Plant & Soil Microbiome (rhizosphere engineering, nitrogen fixation, biofertilizers, soil health)"
point_of_care,Point of Care,"Point-of-Care Diagnostics (rapid tests, lateral flow, portable devices, home diagnostics)"
precision_medicine,Precision Medicine,"Precision Medicine & Pharmacogenomics (genetic testing, therapy selection, biomarker-guided treatment)"
protein_engineering,Protein Engineering,"Protein Engineering & Design (de novo design, computational protein design, protein evolution)"
proteomics,Proteomics,"Proteomics & Mass Spectrometry (protein identification, quantitative proteomics, post-translational modifications)"
rare_disease,Rare Disease,"Rare & Orphan Disease Therapeutics (genetic disorders, ultra-rare conditions, patient registries)"
regenerative_medicine,Regenerative Medicine,"Regenerative Medicine & Tissue Engineering (stem cells, organoids, 3D bioprinting, scaffolds)"
regulatory_science,Regulatory Science,"Regulatory Science & CMC (FDA/EMA pathways, quality systems, manufacturing compliance)"
rna_interference,RNA Interference,"RNAi & Antisense Therapeutics (siRNA, ASOs, splice modulators, oligonucleotide delivery)"
single_cell,Single Cell,"Single-Cell Analysis (single-cell RNA-seq, spatial transcriptomics, multiomics at single-cell resolution)"
structural_biology,Structural Biology,"Structural Biology & Cryo-EM (protein structures, cryo-electron microscopy, X-ray crystallography)"
surgical_robotics,Surgical Robotics,"Surgical Robotics & Navigation (robotic surgery, image-guided intervention, surgical AI)"
synbio_platforms,Synbio Platforms,"Synthetic Biology Platforms (DNA synthesis, genetic circuits, standardized bioparts, cell-free systems)"
transcriptomics,Transcriptomics,"Transcriptomics & RNA Biology (RNA-seq, non-coding RNA, alternative splicing, RNA dynamics)"
vaccines,Vaccines,"Vaccine Development & Manufacturing (prophylactic vaccines, therapeutic vaccines, adjuvants, delivery)"
veterinary_biotech,Veterinary Biotech,"Veterinary Biotechnology (animal health, livestock genetics, companion animal therapeutics)"
bio_general,Bio General,Broad or cross-cutting bio-related topics that do not fit neatly into a specific technical or therapeutic category
bio_industrial_base,Bio Industrial Base,"Biotech Supply Chain & Industrial Base (reagent supply, equipment manufacturing, domestic capacity)"
bio_policy,Bio Policy,"Biotech Policy & Regulation (FDA policy, patent law, pricing policy, global regulatory harmonization)"
bio_cybersecurity,Bio Cybersecurity,"Biosecurity & Cyber-Bio Threats (lab security, data protection, synthetic biology risks)"
